"katt","Lambda","perm","depositedClay","hMean","n","suspendedClay","hPrime2Mean","h","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0066058,236.48,9.8231e-11,1.2777,-9.9232e-05,0.35678,0.0037564,1.8198e-23,-9.9232e-05,-5.1162e-06,8.339e-06,9.8244e-24,0.048519,0.0075916,0.29
0.0047616,236.48,9.556e-11,4.2405,-7.5165e-05,0.35396,0.016544,1.9025e-23,-7.5165e-05,-5.7506e-06,3.8688e-06,9.7567e-24,0.051586,0.0073478,0
0.0047616,236.48,9.556e-11,4.2405,-7.5165e-05,0.35396,0.016544,1.9025e-23,-7.5165e-05,-5.7506e-06,3.8688e-06,9.7567e-24,0.051586,0.0073478,0.29
0.0034549,236.48,9.2031e-11,8.2247,-5.3694e-05,0.35017,0.069503,2.0679e-24,-5.3694e-05,-4.9675e-06,6.3546e-07,-2.2732e-23,0.054628,0.0068817,0
0.0034549,236.48,9.2031e-11,8.2247,-5.3694e-05,0.35017,0.069503,2.0679e-24,-5.3694e-05,-4.9675e-06,6.3546e-07,-2.2732e-23,0.054628,0.0068817,0.29
0.002519,236.48,9.1381e-11,8.9618,-3.9569e-05,0.34947,0.11251,-2.3183e-33,-3.9569e-05,-3.5865e-06,-8.5025e-07,-7.625e-24,0.057633,0.0062211,0
0.002519,236.48,9.1381e-11,8.9618,-3.9569e-05,0.34947,0.11251,-2.3183e-33,-3.9569e-05,-3.5865e-06,-8.5025e-07,-7.625e-24,0.057633,0.0062211,0.29
0.00171,236.48,9.3554e-11,6.4862,-3.2462e-05,0.35183,0.11251,5.1699e-26,-3.2462e-05,-2.2249e-06,-1.1906e-06,-6.3898e-24,0.060599,0.0054028,0
0.00171,236.48,9.3554e-11,6.4862,-3.2462e-05,0.35183,0.11251,5.1699e-26,-3.2462e-05,-2.2249e-06,-1.1906e-06,-6.3898e-24,0.060599,0.0054028,0.29
0.0010527,236.48,9.5735e-11,4.0363,-2.9885e-05,0.35416,0.11251,-1.2408e-24,-2.9885e-05,-1.1105e-06,-1.0845e-06,-6.0199e-24,0.063529,0.0044602,0
0.0010527,236.48,9.5735e-11,4.0363,-2.9885e-05,0.35416,0.11251,-1.2408e-24,-2.9885e-05,-1.1105e-06,-1.0845e-06,-6.0199e-24,0.063529,0.0044602,0.29
0.0005968,236.48,9.7478e-11,2.1035,-3.0014e-05,0.356,0.11251,-2.585e-25,-3.0014e-05,-2.7062e-07,-8.0135e-07,-7.394e-26,0.066426,0.0034233,0
0.0005968,236.48,9.7478e-11,2.1035,-3.0014e-05,0.356,0.11251,-2.585e-25,-3.0014e-05,-2.7062e-07,-8.0135e-07,-7.394e-26,0.066426,0.0034233,0.29
0.00041108,236.48,9.8495e-11,0.98664,-3.185e-05,0.35706,0.069553,3.7223e-24,-3.185e-05,3.5095e-07,-3.2766e-07,-5.0698e-25,0.069298,0.0023185,0
0.00041108,236.48,9.8495e-11,0.98664,-3.185e-05,0.35706,0.069553,3.7223e-24,-3.185e-05,3.5095e-07,-3.2766e-07,-5.0698e-25,0.069298,0.0023185,0.29
0.00050454,236.48,9.8997e-11,0.43898,-3.4267e-05,0.35758,0.016429,-1.2408e-24,-3.4267e-05,7.1114e-07,1.9457e-07,-9.7906e-25,0.072154,0.00117,0
0.00050454,236.48,9.8997e-11,0.43898,-3.4267e-05,0.35758,0.016429,-1.2408e-24,-3.4267e-05,7.1114e-07,1.9457e-07,-9.7906e-25,0.072154,0.00117,0.29
0.00060378,236.48,9.9274e-11,0.13644,-3.6215e-05,0.35787,0.0039429,-5.4801e-24,-3.6215e-05,8.0909e-07,4.2452e-07,1.506e-25,0.075,-9.9787e-11,0
0.00060378,236.48,9.9274e-11,0.13644,-3.6215e-05,0.35787,0.0039429,-5.4801e-24,-3.6215e-05,8.0909e-07,4.2452e-07,1.506e-25,0.075,-9.9787e-11,0.29
0.00065835,236.48,9.9368e-11,0.035349,-3.7982e-05,0.35797,0.00099984,-2.1714e-24,-3.7982e-05,8.8165e-07,4.6458e-07,2.4768e-24,0.077846,-0.00117,0
0.00065835,236.48,9.9368e-11,0.035349,-3.7982e-05,0.35797,0.00099984,-2.1714e-24,-3.7982e-05,8.8165e-07,4.6458e-07,2.4768e-24,0.077846,-0.00117,0.29
0.00079943,236.48,9.9391e-11,0.009528,-4.022e-05,0.35799,0.00023131,2.6883e-24,-4.022e-05,1.0571e-06,5.8857e-07,-1.3775e-26,0.080702,-0.0023185,0
0.00079943,236.48,9.9391e-11,0.009528,-4.022e-05,0.35799,0.00023131,2.6883e-24,-4.022e-05,1.0571e-06,5.8857e-07,-1.3775e-26,0.080702,-0.0023185,0.29
0.00098252,236.48,9.9398e-11,0.0025379,-4.2936e-05,0.358,5.1121e-05,5.3767e-24,-4.2936e-05,1.2555e-06,7.9599e-07,-2.9536e-24,0.083574,-0.0034233,0
0.00098252,236.48,9.9398e-11,0.0025379,-4.2936e-05,0.358,5.1121e-05,5.3767e-24,-4.2936e-05,1.2555e-06,7.9599e-07,-2.9536e-24,0.083574,-0.0034233,0.29
0.0012538,236.48,9.9399e-11,0.00064068,-4.6231e-05,0.358,1.0697e-05,-1.6544e-24,-4.6231e-05,1.4469e-06,1.2165e-06,-5.3183e-24,0.086471,-0.0044602,0
0.0012538,236.48,9.9399e-11,0.00064068,-4.6231e-05,0.358,1.0697e-05,-1.6544e-24,-4.6231e-05,1.4469e-06,1.2165e-06,-5.3183e-24,0.086471,-0.0044602,0.29
0.0015887,236.48,9.94e-11,0.00014291,-4.9746e-05,0.358,1.915e-06,-8.2718e-25,-4.9746e-05,1.5015e-06,1.8622e-06,-3.8899e-24,0.089401,-0.0054028,0
0.0015887,236.48,9.94e-11,0.00014291,-4.9746e-05,0.358,1.915e-06,-8.2718e-25,-4.9746e-05,1.5015e-06,1.8622e-06,-3.8899e-24,0.089401,-0.0054028,0.29
0.0017833,236.48,9.94e-11,2.4641e-05,-5.2462e-05,0.358,2.8613e-07,6.4107e-24,-5.2462e-05,1.3018e-06,2.3555e-06,-5.0149e-24,0.092367,-0.0062211,0
0.0017833,236.48,9.94e-11,2.4641e-05,-5.2462e-05,0.358,2.8613e-07,6.4107e-24,-5.2462e-05,1.3018e-06,2.3555e-06,-5.0149e-24,0.092367,-0.0062211,0.29
0.0017925,236.48,9.94e-11,3.0909e-06,-5.4142e-05,0.358,3.4953e-08,4.9631e-24,-5.4142e-05,1.0371e-06,2.5058e-06,8.3055e-24,0.095372,-0.0068817,0
0.0017925,236.48,9.94e-11,3.0909e-06,-5.4142e-05,0.358,3.4953e-08,4.9631e-24,-5.4142e-05,1.0371e-06,2.5058e-06,8.3055e-24,0.095372,-0.0068817,0.29
0.0019056,236.48,9.94e-11,3.4763e-07,-5.5896e-05,0.358,3.793e-09,1.034e-24,-5.5896e-05,9.3164e-07,2.7293e-06,1.2221e-23,0.098414,-0.0073478,0
0.0019056,236.48,9.94e-11,3.4763e-07,-5.5896e-05,0.358,3.793e-09,1.034e-24,-5.5896e-05,9.3164e-07,2.7293e-06,1.2221e-23,0.098414,-0.0073478,0.29
0.0023591,236.48,9.94e-11,1.4523e-06,-5.8593e-05,0.358,9.841e-09,6.2039e-25,-5.8593e-05,8.1481e-07,3.4694e-06,7.7457e-24,0.10148,-0.0075916,0
0.0023591,236.48,9.94e-11,1.4523e-06,-5.8593e-05,0.358,9.841e-09,6.2039e-25,-5.8593e-05,8.1481e-07,3.4694e-06,7.7457e-24,0.10148,-0.0075916,0.29
